ObservationDate,Country/Region,Confirmed,Deaths,Recovered
1/22/20,Mainland China,1,0,0
1/22/20,Mainland China,14,0,0
1/22/20,Mainland China,6,0,0
1/22/20,Mainland China,1,0,0
1/22/20,Mainland China,0,0,0
1/22/20,Mainland China,26,0,0
1/22/20,Mainland China,2,0,0
1/22/20,Mainland China,1,0,0
1/22/20,Mainland China,4,0,0
1/22/20,Mainland China,1,0,0
1/22/20,Mainland China,0,0,0
1/22/20,Mainland China,5,0,0
1/22/20,Hong Kong,0,0,0
1/22/20,Mainland China,444,17,28
1/22/20,Mainland China,4,0,0
1/22/20,Mainland China,0,0,0
1/22/20,Mainland China,1,0,0
1/22/20,Mainland China,2,0,0
1/22/20,Mainland China,0,0,0
1/22/20,Mainland China,2,0,0
1/22/20,Macau,1,0,0
1/22/20,Mainland China,1,0,0
1/22/20,Mainland China,0,0,0
1/22/20,Mainland China,0,0,0
1/22/20,Mainland China,2,0,0
1/22/20,Mainland China,9,0,0
1/22/20,Mainland China,1,0,0
1/22/20,Mainland China,5,0,0
1/22/20,Taiwan,1,0,0
1/22/20,Mainland China,4,0,0
1/22/20,Mainland China,0,0,0
1/22/20,Mainland China,0,0,0
1/22/20,Mainland China,1,0,0
1/22/20,Mainland China,10,0,0
1/23/20,Mainland China,9,0,0
1/23/20,Mainland China,22,0,0
1/23/20,Mainland China,9,0,0
1/23/20,Mainland China,5,0,0
1/23/20,Mainland China,2,0,0
1/23/20,Mainland China,32,0,2
1/23/20,Mainland China,5,0,0
1/23/20,Mainland China,3,0,0
1/23/20,Mainland China,5,0,0
1/23/20,Mainland China,1,1,0
1/23/20,Mainland China,2,0,0
1/23/20,Mainland China,5,0,0
1/23/20,Hong Kong,2,0,0
1/23/20,Mainland China,444,17,28
1/23/20,Mainland China,9,0,0
1/23/20,Mainland China,0,0,0
1/23/20,Mainland China,5,0,0
1/23/20,Mainland China,7,0,0
1/23/20,Mainland China,1,0,0
1/23/20,Mainland China,3,0,0
1/23/20,Macau,2,0,0
1/23/20,Mainland China,1,0,0
1/23/20,Mainland China,0,0,0
1/23/20,Mainland China,3,0,0
1/23/20,Mainland China,6,0,0
1/23/20,Mainland China,16,0,0
1/23/20,Mainland China,1,0,0
1/23/20,Mainland China,8,0,0
1/23/20,Taiwan,1,0,0
1/23/20,Mainland China,4,0,0
1/23/20,Mainland China,0,0,0
1/23/20,Mainland China,2,0,0
1/23/20,Mainland China,2,0,0
1/23/20,Mainland China,27,0,0
1/24/20,Mainland China,53,0,2
1/24/20,Mainland China,43,0,1
1/24/20,Mainland China,36,0,1
1/24/20,Mainland China,27,0,0
1/24/20,Mainland China,24,0,0
1/24/20,Mainland China,23,0,0
1/24/20,Mainland China,20,0,1
1/24/20,Mainland China,18,0,0
1/24/20,Mainland China,15,0,0
1/24/20,Mainland China,15,0,0
1/24/20,Mainland China,15,0,0
1/24/20,Mainland China,10,0,0
1/24/20,Mainland China,9,0,0
1/24/20,Mainland China,9,0,0
1/24/20,Mainland China,8,0,0
1/24/20,Mainland China,8,0,0
1/24/20,Mainland China,5,0,0
1/24/20,Mainland China,5,0,0
1/24/20,Mainland China,4,1,0
1/24/20,Mainland China,4,0,0
1/24/20,Mainland China,3,0,0
1/24/20,Mainland China,3,0,0
1/24/20,Taiwan,3,0,0
1/24/20,Mainland China,2,0,0
1/24/20,Hong Kong,2,0,0
1/24/20,Macau,2,0,0
1/24/20,Mainland China,2,1,0
1/24/20,Mainland China,2,0,0
1/24/20,Mainland China,2,0,0
1/24/20,Mainland China,1,0,0
1/24/20,Mainland China,1,0,0
1/24/20,Mainland China,0,0,0
1/25/20,Mainland China,761,40,32
1/25/20,Mainland China,78,0,2
1/25/20,Mainland China,62,0,1
1/25/20,Mainland China,57,0,0
1/25/20,Mainland China,43,0,0
1/25/20,Mainland China,41,0,2
1/25/20,Mainland China,39,0,0
1/25/20,Mainland China,33,0,1
1/25/20,Mainland China,32,0,0
1/25/20,Mainland China,28,0,0
1/25/20,Mainland China,27,0,0
1/25/20,Mainland China,23,0,0
1/25/20,Mainland China,19,0,0
1/25/20,Mainland China,18,0,0
1/25/20,Mainland China,18,0,0
1/25/20,Mainland China,18,0,1
1/25/20,Mainland China,17,0,0
1/25/20,Mainland China,15,0,0
1/25/20,Mainland China,11,0,0
1/25/20,Mainland China,10,0,0
1/25/20,Mainland China,9,1,0
1/25/20,Mainland China,8,1,0
1/25/20,Mainland China,7,0,0
1/25/20,Mainland China,6,0,0
1/25/20,Hong Kong,5,0,0
1/25/20,Mainland China,4,0,0
1/25/20,Mainland China,4,0,0
1/25/20,Mainland China,4,0,0
1/25/20,Mainland China,3,0,0
1/25/20,Taiwan,3,0,0
1/25/20,Mainland China,3,0,0
1/25/20,Macau,2,0,0
1/25/20,Mainland China,1,0,0
1/26/20,Mainland China,1058,52,42
1/26/20,Mainland China,111,0,2
1/26/20,Mainland China,104,0,1
1/26/20,Mainland China,83,1,0
1/26/20,Mainland China,75,0,0
1/26/20,Mainland China,69,0,0
1/26/20,Mainland China,68,0,2
1/26/20,Mainland China,60,0,0
1/26/20,Mainland China,46,0,0
1/26/20,Mainland China,44,0,0
1/26/20,Mainland China,40,1,1
1/26/20,Mainland China,36,0,0
1/26/20,Mainland China,36,0,0
1/26/20,Mainland China,35,0,0
1/26/20,Mainland China,33,0,1
1/26/20,Mainland China,22,0,0
1/26/20,Mainland China,22,0,0
1/26/20,Mainland China,21,0,0
1/26/20,Mainland China,16,0,0
1/26/20,Mainland China,15,1,0
1/26/20,Mainland China,14,0,0
1/26/20,Mainland China,13,1,0
1/26/20,Mainland China,9,0,0
