Province/State,Confirmed,Deaths,Recovered
Hubei,64084,2346,15343
Guangdong,1342,6,755
Henan,1271,19,868
Zhejiang,1205,1,760
Hunan,1016,4,714
Anhui,989,6,637
Jiangxi,934,1,613
Shandong,754,4,321
Jiangsu,631,0,418
Chongqing,575,6,335
Sichuan,526,3,261
Heilongjiang,480,12,222
Beijing,399,4,189
Shanghai,335,3,249
Hebei,311,6,219
Fujian,293,1,170
Guangxi,249,2,106
Shaanxi,245,1,163
Yunnan,174,2,115
Hainan,168,5,106
Guizhou,146,2,102
Tianjin,135,3,81
Shanxi,132,0,88
Liaoning,121,1,73
Gansu,91,2,78
Jilin,91,1,54
Xinjiang,76,2,28
Inner Mongolia,75,0,27
Ningxia,71,0,56
Qinghai,18,0,18
Tibet,1,0,1
